Author,Quote,URL
Бернард Мелцер,"Счастье — как поцелуй: чтобы насладиться им, его нужно с кем-то разделить.",http://forismatic.com/ru/fa1bf71536/
Брюс Ли,"Поражение — не поражение, если только вы не признаете его таковым в своем сознании.",http://forismatic.com/ru/b43a985b94/
Будда Гаутама,"Победитель вызывает ненависть, побежденный повержен в скорбь. Отринувший и победу, и поражение живет в счастье и мире.",http://forismatic.com/ru/b24cee5ddb/
Будда Гаутама,"Чувства у него спокойны, как кони, обузданные возницей. Он отказался от гордости и лишен желаний. Такому даже боги завидуют. ",http://forismatic.com/ru/abfba43636/
Герберт Уэллс,"Всегда глупым не бывает никто, иногда — бывает каждый.",http://forismatic.com/ru/6d0765c3fe/
Лев Толстой,"Мы только оттого мучаемся прошедшим и портим себе будущее, что мало заняты настоящим. Прошедшее было, будущего нет, есть только одно настоящее.",http://forismatic.com/ru/41a8974522/
Людвиг Фейербах,"Первая твоя обязанность состоит в том, чтобы сделать счастливым самого себя. Если ты сам счастлив, то ты сделаешь счастливым и других. Счастливый может видеть только счастливых кругом себя. ",http://forismatic.com/ru/0d95ab32cd/
Мишель Монтень,"Истинное достоинство подобно реке, чем оно глубже, тем меньше издает шума. ",http://forismatic.com/ru/d98aa129c8/
Франсуа Де Ларошфуко,"Только стечение обстоятельств открывает нашу сущность окружающим и, главное, нам самим.",http://forismatic.com/ru/b59a07c104/
Шри Ауробиндо,"Любовь к уединению есть признак предрасположенности к знанию. Само же знание достигается лишь тогда, когда неизменное ощущение уединенности не покидает нас ни среди толпы, ни на поле боя, ни в рыночной сутолоке. ",http://forismatic.com/ru/bddf7d2d8f/
